jour,Bourgogne-Franche-Comte,Cote-d'Or,Doubs,Jura,Nievre,Haute-Saone,Saone-et-Loire,Yonne,Territoire de Belfort
2020-03-19 00:00:00,13,2,2,0,0,0,2,2,5
2020-03-20 00:00:00,3,1,1,0,0,0,1,0,0
2020-03-21 00:00:00,14,1,2,0,0,0,2,0,9
2020-03-22 00:00:00,13,3,3,0,0,0,2,0,5
2020-03-23 00:00:00,14,6,1,0,0,0,1,0,6
2020-03-24 00:00:00,23,9,1,0,0,3,7,0,3
2020-03-25 00:00:00,17,5,1,0,0,3,5,0,3
2020-03-26 00:00:00,21,5,6,0,0,0,4,1,5
2020-03-27 00:00:00,16,2,3,0,0,0,3,0,8
2020-03-28 00:00:00,9,1,1,1,0,3,2,0,1
2020-03-29 00:00:00,16,2,3,0,0,1,2,1,7
2020-03-30 00:00:00,23,0,1,1,0,4,7,0,10
2020-03-31 00:00:00,28,5,8,1,2,6,5,1,0
2020-04-01 00:00:00,18,3,0,1,1,3,3,3,4
2020-04-02 00:00:00,41,18,1,0,1,6,3,1,11
2020-04-03 00:00:00,33,5,8,6,1,2,7,1,3
2020-04-04 00:00:00,21,3,3,3,0,3,3,1,5
2020-04-05 00:00:00,18,4,3,1,0,4,2,1,3
2020-04-06 00:00:00,26,3,2,3,1,7,4,3,3
2020-04-07 00:00:00,29,7,7,1,1,1,5,2,5
2020-04-08 00:00:00,16,11,1,1,0,0,1,0,2
2020-04-09 00:00:00,15,1,1,4,0,0,6,1,2
2020-04-10 00:00:00,32,7,5,1,0,2,8,5,4
2020-04-11 00:00:00,19,4,3,2,0,1,2,2,5
2020-04-12 00:00:00,22,10,4,1,0,1,1,1,4
2020-04-13 00:00:00,12,3,0,1,1,1,0,2,4
2020-04-14 00:00:00,39,14,8,2,4,1,5,4,1
2020-04-15 00:00:00,31,8,1,2,0,5,7,1,7
2020-04-16 00:00:00,27,8,4,2,0,1,9,1,2
2020-04-17 00:00:00,16,5,3,0,0,1,2,0,5
2020-04-18 00:00:00,21,5,5,3,2,0,1,4,1
2020-04-19 00:00:00,13,6,1,0,1,0,4,1,0
2020-04-20 00:00:00,20,6,1,0,3,2,3,3,2
2020-04-21 00:00:00,28,7,4,2,1,0,12,0,2
2020-04-22 00:00:00,16,1,0,1,2,2,2,2,6
2020-04-23 00:00:00,32,10,7,3,0,1,4,6,1
2020-04-24 00:00:00,18,12,0,0,0,0,5,1,0
2020-04-25 00:00:00,16,3,6,0,1,3,1,1,1
2020-04-26 00:00:00,11,4,1,0,0,1,2,2,1
2020-04-27 00:00:00,17,6,2,1,0,0,5,1,2
2020-04-28 00:00:00,7,2,1,0,0,0,3,1,0
2020-04-29 00:00:00,13,2,0,0,0,2,3,4,2
2020-04-30 00:00:00,6,1,2,2,0,0,1,0,0
2020-05-01 00:00:00,5,0,0,0,0,0,0,3,2
2020-05-02 00:00:00,7,0,0,0,1,1,1,2,2
2020-05-03 00:00:00,6,2,0,0,0,1,3,0,0
2020-05-04 00:00:00,13,0,3,2,0,2,3,1,2
2020-05-05 00:00:00,15,1,7,0,0,0,0,2,5
2020-05-06 00:00:00,12,3,4,0,1,0,1,2,1
2020-05-07 00:00:00,10,3,2,1,0,0,1,1,2
2020-05-08 00:00:00,8,1,0,0,0,1,4,1,1
2020-05-09 00:00:00,7,2,0,3,0,0,1,1,0
2020-05-10 00:00:00,5,0,0,0,1,0,2,0,2
2020-05-11 00:00:00,13,0,3,3,0,1,4,2,0
2020-05-12 00:00:00,10,4,1,1,0,0,3,0,1
2020-05-13 00:00:00,6,1,0,0,0,0,3,0,2
2020-05-14 00:00:00,3,0,1,0,0,1,0,0,1
2020-05-15 00:00:00,2,0,0,1,0,0,1,0,0
2020-05-16 00:00:00,2,0,1,1,0,0,0,0,0
2020-05-17 00:00:00,0,0,0,0,0,0,0,0,0
2020-05-18 00:00:00,10,0,4,0,0,1,2,3,0
2020-05-19 00:00:00,9,2,2,0,0,0,4,1,0
2020-05-20 00:00:00,2,1,0,0,0,0,0,1,0
2020-05-21 00:00:00,3,0,0,0,0,0,0,2,1
2020-05-22 00:00:00,5,1,2,1,0,0,0,1,0
2020-05-23 00:00:00,0,0,0,0,0,0,0,0,0
2020-05-24 00:00:00,2,0,0,0,1,0,0,0,1
2020-05-25 00:00:00,4,0,0,0,0,0,2,1,1
2020-05-26 00:00:00,3,2,0,1,0,0,0,0,0
2020-05-27 00:00:00,4,0,1,0,1,0,0,1,1
2020-05-28 00:00:00,3,0,1,1,0,0,0,0,1
2020-05-29 00:00:00,4,1,0,0,0,0,2,0,1
2020-05-30 00:00:00,1,1,0,0,0,0,0,0,0
2020-05-31 00:00:00,1,0,0,0,0,0,0,0,1
2020-06-01 00:00:00,1,0,0,0,0,0,0,1,0
2020-06-02 00:00:00,2,0,0,0,0,0,0,1,1
2020-06-03 00:00:00,4,1,0,0,0,0,2,1,0
2020-06-04 00:00:00,5,2,0,0,0,0,0,2,1
2020-06-05 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-06 00:00:00,1,1,0,0,0,0,0,0,0
2020-06-07 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-08 00:00:00,1,0,0,0,0,0,1,0,0
2020-06-09 00:00:00,4,1,1,0,0,0,0,0,2
2020-06-10 00:00:00,4,0,0,0,0,0,1,1,2
2020-06-11 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-12 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-13 00:00:00,2,0,0,0,0,0,0,0,2
2020-06-14 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-15 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-16 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-17 00:00:00,1,0,0,0,0,0,0,0,1
2020-06-18 00:00:00,1,0,0,0,0,0,0,0,1
2020-06-19 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-20 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-21 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-22 00:00:00,1,0,1,0,0,0,0,0,0
2020-06-23 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-24 00:00:00,1,0,1,0,0,0,0,0,0
2020-06-25 00:00:00,1,0,0,0,0,0,0,0,1
2020-06-26 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-27 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-28 00:00:00,0,0,0,0,0,0,0,0,0
2020-06-29 00:00:00,1,0,0,0,0,0,0,0,1
2020-06-30 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-01 00:00:00,3,0,0,0,0,0,2,1,0
2020-07-02 00:00:00,1,1,0,0,0,0,0,0,0
2020-07-03 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-04 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-05 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-06 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-07 00:00:00,2,1,0,0,0,0,0,1,0
2020-07-08 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-09 00:00:00,1,0,0,0,0,0,0,1,0
2020-07-10 00:00:00,12,0,0,0,0,0,0,0,12
2020-07-11 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-12 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-13 00:00:00,1,0,0,0,0,0,0,1,0
2020-07-14 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-15 00:00:00,2,0,0,0,0,0,0,1,1
2020-07-16 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-17 00:00:00,1,0,0,0,1,0,0,0,0
2020-07-18 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-19 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-20 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-21 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-22 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-23 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-24 00:00:00,1,0,0,0,0,0,0,1,0
2020-07-25 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-26 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-27 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-28 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-29 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-30 00:00:00,0,0,0,0,0,0,0,0,0
2020-07-31 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-01 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-02 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-03 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-04 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-05 00:00:00,1,1,0,0,0,0,0,0,0
2020-08-06 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-07 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-08 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-09 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-10 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-11 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-12 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-13 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-14 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-15 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-16 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-17 00:00:00,1,0,0,0,0,0,0,1,0
2020-08-18 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-19 00:00:00,1,0,0,0,0,0,1,0,0
2020-08-20 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-21 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-22 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-23 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-24 00:00:00,1,0,1,0,0,0,0,0,0
2020-08-25 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-26 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-27 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-28 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-29 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-30 00:00:00,0,0,0,0,0,0,0,0,0
2020-08-31 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-01 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-02 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-03 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-04 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-05 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-06 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-07 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-08 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-09 00:00:00,1,0,1,0,0,0,0,0,0
2020-09-10 00:00:00,1,1,0,0,0,0,0,0,0
2020-09-11 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-12 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-13 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-14 00:00:00,1,0,0,0,0,0,0,0,1
2020-09-15 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-16 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-17 00:00:00,3,1,1,0,0,0,1,0,0
2020-09-18 00:00:00,1,0,0,0,0,0,1,0,0
2020-09-19 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-20 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-21 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-22 00:00:00,2,0,0,0,0,0,2,0,0
2020-09-23 00:00:00,2,0,0,0,0,0,2,0,0
2020-09-24 00:00:00,1,0,0,0,0,0,1,0,0
2020-09-25 00:00:00,2,1,0,0,0,0,1,0,0
2020-09-26 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-27 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-28 00:00:00,1,0,0,0,0,0,1,0,0
2020-09-29 00:00:00,0,0,0,0,0,0,0,0,0
2020-09-30 00:00:00,3,3,0,0,0,0,0,0,0
2020-10-01 00:00:00,2,0,0,0,0,0,2,0,0
2020-10-02 00:00:00,1,1,0,0,0,0,0,0,0
2020-10-03 00:00:00,1,0,0,0,0,0,1,0,0
2020-10-04 00:00:00,1,0,0,0,0,0,0,0,1
2020-10-05 00:00:00,0,0,0,0,0,0,0,0,0
2020-10-06 00:00:00,0,0,0,0,0,0,0,0,0
2020-10-07 00:00:00,5,2,0,1,0,0,2,0,0
2020-10-08 00:00:00,2,1,0,0,0,0,1,0,0
2020-10-09 00:00:00,5,2,0,0,0,1,2,0,0
2020-10-10 00:00:00,0,0,0,0,0,0,0,0,0
2020-10-11 00:00:00,1,0,0,0,1,0,0,0,0
2020-10-12 00:00:00,3,0,0,0,0,0,3,0,0
2020-10-13 00:00:00,2,1,0,0,0,0,1,0,0
2020-10-14 00:00:00,5,3,0,0,0,0,1,0,1
2020-10-15 00:00:00,0,0,0,0,0,0,0,0,0
2020-10-16 00:00:00,4,0,0,0,0,1,3,0,0
2020-10-17 00:00:00,1,0,0,0,0,0,1,0,0
2020-10-18 00:00:00,3,0,1,1,0,0,1,0,0
2020-10-19 00:00:00,8,3,0,0,0,2,3,0,0
2020-10-20 00:00:00,3,0,0,0,0,1,2,0,0
2020-10-21 00:00:00,5,0,1,1,0,0,2,1,0
2020-10-22 00:00:00,8,0,1,2,0,2,2,0,1
2020-10-23 00:00:00,7,1,2,0,0,0,4,0,0
2020-10-24 00:00:00,6,1,0,1,1,0,1,0,2
2020-10-25 00:00:00,9,2,0,0,1,0,5,0,1
2020-10-26 00:00:00,9,3,2,2,0,1,1,0,0
2020-10-27 00:00:00,17,0,1,1,0,1,13,1,0
2020-10-28 00:00:00,10,0,2,3,1,0,4,0,0
2020-10-29 00:00:00,6,0,0,0,0,2,4,0,0
2020-10-30 00:00:00,7,1,1,1,0,0,0,0,4
2020-10-31 00:00:00,9,3,1,2,0,0,2,0,1
2020-11-01 00:00:00,11,2,0,3,0,1,3,0,2
2020-11-02 00:00:00,20,3,0,2,1,1,11,1,1
2020-11-03 00:00:00,24,3,4,3,0,2,10,2,0
2020-11-04 00:00:00,18,5,2,1,1,2,4,2,1
2020-11-05 00:00:00,25,4,1,3,1,1,13,1,1
2020-11-06 00:00:00,24,1,3,3,0,4,10,3,0
2020-11-07 00:00:00,9,5,1,0,1,0,1,0,1
2020-11-08 00:00:00,29,8,4,0,1,2,8,2,4
2020-11-09 00:00:00,45,9,0,10,0,2,14,6,4
2020-11-10 00:00:00,25,3,1,8,1,0,8,1,3
2020-11-11 00:00:00,19,5,3,0,1,3,6,1,0
2020-11-12 00:00:00,25,4,4,2,1,1,12,1,0
2020-11-13 00:00:00,22,4,1,1,0,2,12,2,0
2020-11-14 00:00:00,20,5,1,3,0,0,6,2,3
2020-11-15 00:00:00,20,3,1,4,0,2,7,3,0
2020-11-16 00:00:00,27,2,1,2,0,0,17,3,2
2020-11-17 00:00:00,33,7,6,1,1,3,10,3,2
2020-11-18 00:00:00,36,5,3,4,2,1,13,4,4
2020-11-19 00:00:00,18,3,0,3,0,0,3,4,5
2020-11-20 00:00:00,22,2,6,6,0,0,4,1,3
2020-11-21 00:00:00,26,3,2,1,11,0,6,3,0
2020-11-22 00:00:00,16,1,1,3,1,1,5,1,3
2020-11-23 00:00:00,32,3,7,2,3,4,7,3,3
2020-11-24 00:00:00,26,2,3,6,1,0,9,2,3
2020-11-25 00:00:00,32,5,2,2,5,1,8,5,4
2020-11-26 00:00:00,23,3,5,0,1,0,8,3,3
2020-11-27 00:00:00,33,10,4,3,2,2,6,4,2
2020-11-28 00:00:00,19,2,5,0,1,0,2,3,6
2020-11-29 00:00:00,16,2,2,4,2,1,3,1,1
2020-11-30 00:00:00,28,7,4,1,2,0,11,1,2
2020-12-01 00:00:00,21,4,2,0,2,0,11,2,0
2020-12-02 00:00:00,29,3,3,2,2,0,5,4,10
2020-12-03 00:00:00,20,3,3,7,0,1,4,1,1
2020-12-04 00:00:00,20,1,2,2,1,0,7,5,2
2020-12-05 00:00:00,16,2,2,1,2,2,2,2,3
2020-12-06 00:00:00,10,4,1,0,0,0,3,2,0
2020-12-07 00:00:00,21,4,6,0,1,0,3,3,4
