jour,Département,Hospitalisations,Réanimations
2020-03-18,Côte-d'Or,60,16
2020-03-18,Doubs,26,3
2020-03-18,Jura,2,1
2020-03-18,Nièvre,0,0
2020-03-18,Haute-Saône,14,4
2020-03-18,Saône-et-Loire,35,0
2020-03-18,Yonne,6,0
2020-03-18,Territoire de Belfort,25,9
2020-03-19,Côte-d'Or,53,19
2020-03-19,Doubs,33,11
2020-03-19,Jura,2,1
2020-03-19,Nièvre,0,0
2020-03-19,Haute-Saône,14,3
2020-03-19,Saône-et-Loire,48,3
2020-03-19,Yonne,5,1
2020-03-19,Territoire de Belfort,39,9
2020-03-20,Côte-d'Or,82,31
2020-03-20,Doubs,43,15
2020-03-20,Jura,6,1
2020-03-20,Nièvre,1,1
2020-03-20,Haute-Saône,26,6
2020-03-20,Saône-et-Loire,53,5
2020-03-20,Yonne,10,3
2020-03-20,Territoire de Belfort,49,9
2020-03-21,Côte-d'Or,79,30
2020-03-21,Doubs,48,21
2020-03-21,Jura,7,1
2020-03-21,Nièvre,1,1
2020-03-21,Haute-Saône,26,6
2020-03-21,Saône-et-Loire,50,6
2020-03-21,Yonne,11,3
2020-03-21,Territoire de Belfort,61,11
2020-03-22,Côte-d'Or,101,31
2020-03-22,Doubs,63,21
2020-03-22,Jura,8,1
2020-03-22,Nièvre,1,1
2020-03-22,Haute-Saône,26,6
2020-03-22,Saône-et-Loire,65,6
2020-03-22,Yonne,13,3
2020-03-22,Territoire de Belfort,68,14
2020-03-23,Côte-d'Or,113,34
2020-03-23,Doubs,65,22
2020-03-23,Jura,10,1
2020-03-23,Nièvre,3,2
2020-03-23,Haute-Saône,26,6
2020-03-23,Saône-et-Loire,84,7
2020-03-23,Yonne,16,7
2020-03-23,Territoire de Belfort,94,20
2020-03-24,Côte-d'Or,114,34
2020-03-24,Doubs,80,26
2020-03-24,Jura,24,2
2020-03-24,Nièvre,3,2
2020-03-24,Haute-Saône,37,13
2020-03-24,Saône-et-Loire,92,14
2020-03-24,Yonne,18,8
2020-03-24,Territoire de Belfort,109,22
2020-03-25,Côte-d'Or,153,42
2020-03-25,Doubs,84,27
2020-03-25,Jura,28,4
2020-03-25,Nièvre,3,2
2020-03-25,Haute-Saône,44,18
2020-03-25,Saône-et-Loire,109,19
2020-03-25,Yonne,32,11
2020-03-25,Territoire de Belfort,138,27
2020-03-26,Côte-d'Or,163,40
2020-03-26,Doubs,84,29
2020-03-26,Jura,45,9
2020-03-26,Nièvre,4,2
2020-03-26,Haute-Saône,62,22
2020-03-26,Saône-et-Loire,149,22
2020-03-26,Yonne,35,12
2020-03-26,Territoire de Belfort,137,30
2020-03-27,Côte-d'Or,170,42
2020-03-27,Doubs,100,37
2020-03-27,Jura,48,12
2020-03-27,Nièvre,6,3
2020-03-27,Haute-Saône,67,23
2020-03-27,Saône-et-Loire,165,27
2020-03-27,Yonne,37,12
2020-03-27,Territoire de Belfort,147,30
2020-03-28,Côte-d'Or,202,45
2020-03-28,Doubs,91,38
2020-03-28,Jura,37,9
2020-03-28,Nièvre,7,4
2020-03-28,Haute-Saône,66,21
2020-03-28,Saône-et-Loire,182,31
2020-03-28,Yonne,38,12
2020-03-28,Territoire de Belfort,164,34
2020-03-29,Côte-d'Or,218,48
2020-03-29,Doubs,148,56
2020-03-29,Jura,37,9
2020-03-29,Nièvre,9,6
2020-03-29,Haute-Saône,66,18
2020-03-29,Saône-et-Loire,184,27
2020-03-29,Yonne,40,13
2020-03-29,Territoire de Belfort,171,40
2020-03-30,Côte-d'Or,211,46
2020-03-30,Doubs,152,53
2020-03-30,Jura,48,9
2020-03-30,Nièvre,12,7
2020-03-30,Haute-Saône,63,16
2020-03-30,Saône-et-Loire,187,34
2020-03-30,Yonne,52,15
2020-03-30,Territoire de Belfort,177,40
2020-03-31,Côte-d'Or,166,40
2020-03-31,Doubs,148,51
2020-03-31,Jura,52,9
2020-03-31,Nièvre,12,8
2020-03-31,Haute-Saône,69,15
2020-03-31,Saône-et-Loire,191,30
2020-03-31,Yonne,75,16
2020-03-31,Territoire de Belfort,201,43
2020-04-01,Côte-d'Or,190,44
2020-04-01,Doubs,161,53
2020-04-01,Jura,55,9
2020-04-01,Nièvre,12,9
2020-04-01,Haute-Saône,68,16
2020-04-01,Saône-et-Loire,173,33
2020-04-01,Yonne,85,21
2020-04-01,Territoire de Belfort,219,44
2020-04-02,Côte-d'Or,202,56
2020-04-02,Doubs,186,62
2020-04-02,Jura,55,10
2020-04-02,Nièvre,15,7
2020-04-02,Haute-Saône,77,15
2020-04-02,Saône-et-Loire,169,35
2020-04-02,Yonne,97,19
2020-04-02,Territoire de Belfort,216,46
2020-04-03,Côte-d'Or,212,62
2020-04-03,Doubs,173,72
2020-04-03,Jura,60,11
2020-04-03,Nièvre,21,7
2020-04-03,Haute-Saône,81,14
2020-04-03,Saône-et-Loire,163,36
2020-04-03,Yonne,101,20
2020-04-03,Territoire de Belfort,217,43
2020-04-04,Côte-d'Or,255,66
2020-04-04,Doubs,175,76
2020-04-04,Jura,70,11
2020-04-04,Nièvre,27,8
2020-04-04,Haute-Saône,80,16
2020-04-04,Saône-et-Loire,162,37
2020-04-04,Yonne,102,19
2020-04-04,Territoire de Belfort,204,41
2020-04-05,Côte-d'Or,259,65
2020-04-05,Doubs,183,73
2020-04-05,Jura,78,11
2020-04-05,Nièvre,34,11
2020-04-05,Haute-Saône,80,17
2020-04-05,Saône-et-Loire,173,37
2020-04-05,Yonne,101,18
2020-04-05,Territoire de Belfort,212,43
2020-04-06,Côte-d'Or,284,76
2020-04-06,Doubs,183,75
2020-04-06,Jura,77,10
2020-04-06,Nièvre,36,10
2020-04-06,Haute-Saône,79,16
2020-04-06,Saône-et-Loire,193,38
2020-04-06,Yonne,103,18
2020-04-06,Territoire de Belfort,221,42
2020-04-07,Côte-d'Or,307,79
2020-04-07,Doubs,196,81
2020-04-07,Jura,90,11
2020-04-07,Nièvre,34,9
2020-04-07,Haute-Saône,84,17
2020-04-07,Saône-et-Loire,191,36
2020-04-07,Yonne,94,19
2020-04-07,Territoire de Belfort,216,43
2020-04-08,Côte-d'Or,310,74
2020-04-08,Doubs,199,81
2020-04-08,Jura,100,12
2020-04-08,Nièvre,36,9
2020-04-08,Haute-Saône,87,18
2020-04-08,Saône-et-Loire,191,36
2020-04-08,Yonne,95,19
2020-04-08,Territoire de Belfort,209,43
2020-04-09,Côte-d'Or,290,73
2020-04-09,Doubs,199,77
2020-04-09,Jura,105,13
2020-04-09,Nièvre,37,8
2020-04-09,Haute-Saône,91,18
2020-04-09,Saône-et-Loire,188,35
2020-04-09,Yonne,91,18
2020-04-09,Territoire de Belfort,210,41
2020-04-10,Côte-d'Or,350,79
2020-04-10,Doubs,190,75
2020-04-10,Jura,111,16
2020-04-10,Nièvre,48,10
2020-04-10,Haute-Saône,89,17
2020-04-10,Saône-et-Loire,184,36
2020-04-10,Yonne,88,20
2020-04-10,Territoire de Belfort,222,37
2020-04-11,Côte-d'Or,325,72
2020-04-11,Doubs,186,77
2020-04-11,Jura,112,14
2020-04-11,Nièvre,53,10
2020-04-11,Haute-Saône,87,17
2020-04-11,Saône-et-Loire,174,33
2020-04-11,Yonne,85,20
2020-04-11,Territoire de Belfort,217,35
2020-04-12,Côte-d'Or,344,72
2020-04-12,Doubs,213,75
2020-04-12,Jura,117,15
2020-04-12,Nièvre,56,10
2020-04-12,Haute-Saône,85,17
2020-04-12,Saône-et-Loire,175,34
2020-04-12,Yonne,84,20
2020-04-12,Territoire de Belfort,220,35
2020-04-13,Côte-d'Or,340,73
2020-04-13,Doubs,212,75
2020-04-13,Jura,124,17
2020-04-13,Nièvre,60,11
2020-04-13,Haute-Saône,85,17
2020-04-13,Saône-et-Loire,176,34
2020-04-13,Yonne,83,20
2020-04-13,Territoire de Belfort,229,37
2020-04-14,Côte-d'Or,346,73
2020-04-14,Doubs,234,75
2020-04-14,Jura,131,18
2020-04-14,Nièvre,58,10
2020-04-14,Haute-Saône,95,18
2020-04-14,Saône-et-Loire,180,34
2020-04-14,Yonne,91,21
2020-04-14,Territoire de Belfort,226,36
2020-04-15,Côte-d'Or,361,78
2020-04-15,Doubs,230,70
2020-04-15,Jura,132,18
2020-04-15,Nièvre,55,11
2020-04-15,Haute-Saône,89,16
2020-04-15,Saône-et-Loire,187,31
2020-04-15,Yonne,86,19
2020-04-15,Territoire de Belfort,201,31
2020-04-16,Côte-d'Or,384,81
2020-04-16,Doubs,221,71
2020-04-16,Jura,132,17
2020-04-16,Nièvre,63,11
2020-04-16,Haute-Saône,89,16
2020-04-16,Saône-et-Loire,190,32
2020-04-16,Yonne,96,19
2020-04-16,Territoire de Belfort,195,32
2020-04-17,Côte-d'Or,380,74
2020-04-17,Doubs,213,66
2020-04-17,Jura,145,17
2020-04-17,Nièvre,61,10
2020-04-17,Haute-Saône,95,17
2020-04-17,Saône-et-Loire,201,30
2020-04-17,Yonne,97,19
2020-04-17,Territoire de Belfort,188,29
2020-04-18,Côte-d'Or,391,77
2020-04-18,Doubs,192,59
2020-04-18,Jura,139,14
2020-04-18,Nièvre,60,11
2020-04-18,Haute-Saône,96,17
2020-04-18,Saône-et-Loire,202,29
2020-04-18,Yonne,90,19
2020-04-18,Territoire de Belfort,181,29
2020-04-19,Côte-d'Or,367,66
2020-04-19,Doubs,190,53
2020-04-19,Jura,136,14
2020-04-19,Nièvre,59,11
2020-04-19,Haute-Saône,96,17
2020-04-19,Saône-et-Loire,202,30
2020-04-19,Yonne,94,19
2020-04-19,Territoire de Belfort,183,29
2020-04-20,Côte-d'Or,367,65
2020-04-20,Doubs,193,53
2020-04-20,Jura,136,12
2020-04-20,Nièvre,58,10
2020-04-20,Haute-Saône,90,19
2020-04-20,Saône-et-Loire,209,30
2020-04-20,Yonne,93,20
2020-04-20,Territoire de Belfort,188,29
2020-04-21,Côte-d'Or,366,63
2020-04-21,Doubs,196,52
2020-04-21,Jura,122,9
2020-04-21,Nièvre,58,9
2020-04-21,Haute-Saône,91,18
2020-04-21,Saône-et-Loire,207,30
2020-04-21,Yonne,104,20
2020-04-21,Territoire de Belfort,175,28
2020-04-22,Côte-d'Or,361,63
2020-04-22,Doubs,198,55
2020-04-22,Jura,115,11
2020-04-22,Nièvre,55,7
2020-04-22,Haute-Saône,91,17
2020-04-22,Saône-et-Loire,227,29
2020-04-22,Yonne,119,26
2020-04-22,Territoire de Belfort,168,26
2020-04-23,Côte-d'Or,340,56
2020-04-23,Doubs,177,50
2020-04-23,Jura,108,10
2020-04-23,Nièvre,51,7
2020-04-23,Haute-Saône,96,17
2020-04-23,Saône-et-Loire,230,27
2020-04-23,Yonne,117,27
2020-04-23,Territoire de Belfort,164,23
2020-04-24,Côte-d'Or,303,54
2020-04-24,Doubs,177,49
2020-04-24,Jura,108,9
2020-04-24,Nièvre,52,8
2020-04-24,Haute-Saône,114,15
2020-04-24,Saône-et-Loire,214,25
2020-04-24,Yonne,109,23
2020-04-24,Territoire de Belfort,156,20
2020-04-25,Côte-d'Or,292,59
2020-04-25,Doubs,171,46
2020-04-25,Jura,104,8
2020-04-25,Nièvre,52,8
2020-04-25,Haute-Saône,111,13
2020-04-25,Saône-et-Loire,223,25
2020-04-25,Yonne,115,23
2020-04-25,Territoire de Belfort,148,19
2020-04-26,Côte-d'Or,285,50
2020-04-26,Doubs,179,49
2020-04-26,Jura,104,8
2020-04-26,Nièvre,51,7
2020-04-26,Haute-Saône,113,13
2020-04-26,Saône-et-Loire,224,26
2020-04-26,Yonne,113,22
2020-04-26,Territoire de Belfort,149,20
2020-04-27,Côte-d'Or,288,52
2020-04-27,Doubs,179,49
2020-04-27,Jura,103,9
2020-04-27,Nièvre,50,6
2020-04-27,Haute-Saône,101,13
2020-04-27,Saône-et-Loire,231,26
2020-04-27,Yonne,112,21
2020-04-27,Territoire de Belfort,146,20
2020-04-28,Côte-d'Or,288,53
2020-04-28,Doubs,178,40
2020-04-28,Jura,97,10
2020-04-28,Nièvre,50,6
2020-04-28,Haute-Saône,98,13
2020-04-28,Saône-et-Loire,234,28
2020-04-28,Yonne,108,21
2020-04-28,Territoire de Belfort,146,20
2020-04-29,Côte-d'Or,285,54
2020-04-29,Doubs,168,41
2020-04-29,Jura,93,9
2020-04-29,Nièvre,51,6
2020-04-29,Haute-Saône,97,12
2020-04-29,Saône-et-Loire,243,24
2020-04-29,Yonne,110,21
2020-04-29,Territoire de Belfort,139,19
2020-04-30,Côte-d'Or,287,57
2020-04-30,Doubs,160,38
2020-04-30,Jura,99,8
2020-04-30,Nièvre,52,4
2020-04-30,Haute-Saône,101,9
2020-04-30,Saône-et-Loire,238,24
2020-04-30,Yonne,109,22
2020-04-30,Territoire de Belfort,135,19
2020-05-01,Côte-d'Or,274,56
2020-05-01,Doubs,155,38
2020-05-01,Jura,98,8
2020-05-01,Nièvre,50,4
2020-05-01,Haute-Saône,102,9
2020-05-01,Saône-et-Loire,228,24
2020-05-01,Yonne,102,21
2020-05-01,Territoire de Belfort,131,18
2020-05-02,Côte-d'Or,278,57
2020-05-02,Doubs,157,38
2020-05-02,Jura,98,8
2020-05-02,Nièvre,49,4
2020-05-02,Haute-Saône,101,8
2020-05-02,Saône-et-Loire,229,22
2020-05-02,Yonne,100,18
2020-05-02,Territoire de Belfort,127,17
2020-05-03,Côte-d'Or,276,57
2020-05-03,Doubs,156,38
2020-05-03,Jura,98,8
2020-05-03,Nièvre,49,4
2020-05-03,Haute-Saône,100,7
2020-05-03,Saône-et-Loire,229,25
2020-05-03,Yonne,106,18
2020-05-03,Territoire de Belfort,129,17
2020-05-04,Côte-d'Or,273,50
2020-05-04,Doubs,156,38
2020-05-04,Jura,97,5
2020-05-04,Nièvre,49,4
2020-05-04,Haute-Saône,98,7
2020-05-04,Saône-et-Loire,222,21
2020-05-04,Yonne,115,20
2020-05-04,Territoire de Belfort,131,16
2020-05-05,Côte-d'Or,267,34
2020-05-05,Doubs,145,32
2020-05-05,Jura,83,6
2020-05-05,Nièvre,48,4
2020-05-05,Haute-Saône,97,8
2020-05-05,Saône-et-Loire,224,19
2020-05-05,Yonne,110,18
2020-05-05,Territoire de Belfort,139,14
2020-05-06,Côte-d'Or,270,27
2020-05-06,Doubs,140,31
2020-05-06,Jura,84,6
2020-05-06,Nièvre,46,3
2020-05-06,Haute-Saône,93,4
2020-05-06,Saône-et-Loire,225,14
2020-05-06,Yonne,109,16
2020-05-06,Territoire de Belfort,144,13
2020-05-07,Côte-d'Or,244,28
2020-05-07,Doubs,134,29
2020-05-07,Jura,83,5
2020-05-07,Nièvre,42,3
2020-05-07,Haute-Saône,78,4
2020-05-07,Saône-et-Loire,218,13
2020-05-07,Yonne,107,17
2020-05-07,Territoire de Belfort,143,13
2020-05-08,Côte-d'Or,225,28
2020-05-08,Doubs,124,29
2020-05-08,Jura,86,5
2020-05-08,Nièvre,42,3
2020-05-08,Haute-Saône,77,5
2020-05-08,Saône-et-Loire,209,13
2020-05-08,Yonne,108,17
2020-05-08,Territoire de Belfort,140,15
2020-05-09,Côte-d'Or,226,27
2020-05-09,Doubs,122,28
2020-05-09,Jura,74,3
2020-05-09,Nièvre,42,3
2020-05-09,Haute-Saône,79,5
2020-05-09,Saône-et-Loire,208,13
2020-05-09,Yonne,109,17
2020-05-09,Territoire de Belfort,142,15
2020-05-10,Côte-d'Or,218,24
2020-05-10,Doubs,124,28
2020-05-10,Jura,74,3
2020-05-10,Nièvre,41,1
2020-05-10,Haute-Saône,80,5
2020-05-10,Saône-et-Loire,207,13
2020-05-10,Yonne,113,17
2020-05-10,Territoire de Belfort,143,15
2020-05-11,Côte-d'Or,174,22
2020-05-11,Doubs,128,27
2020-05-11,Jura,75,5
2020-05-11,Nièvre,42,3
2020-05-11,Haute-Saône,79,5
2020-05-11,Saône-et-Loire,203,14
2020-05-11,Yonne,113,16
2020-05-11,Territoire de Belfort,144,16
2020-05-12,Côte-d'Or,141,24
2020-05-12,Doubs,130,29
2020-05-12,Jura,71,3
2020-05-12,Nièvre,44,4
2020-05-12,Haute-Saône,77,3
2020-05-12,Saône-et-Loire,189,14
2020-05-12,Yonne,110,13
2020-05-12,Territoire de Belfort,134,15
2020-05-13,Côte-d'Or,135,23
2020-05-13,Doubs,128,28
2020-05-13,Jura,72,3
2020-05-13,Nièvre,39,2
2020-05-13,Haute-Saône,78,2
2020-05-13,Saône-et-Loire,187,11
2020-05-13,Yonne,110,13
2020-05-13,Territoire de Belfort,130,14
2020-05-14,Côte-d'Or,133,23
2020-05-14,Doubs,118,27
2020-05-14,Jura,70,3
2020-05-14,Nièvre,38,2
2020-05-14,Haute-Saône,79,2
2020-05-14,Saône-et-Loire,189,12
2020-05-14,Yonne,112,13
2020-05-14,Territoire de Belfort,124,13
2020-05-15,Côte-d'Or,121,22
2020-05-15,Doubs,115,25
2020-05-15,Jura,67,3
2020-05-15,Nièvre,39,3
2020-05-15,Haute-Saône,78,2
2020-05-15,Saône-et-Loire,183,13
2020-05-15,Yonne,108,13
2020-05-15,Territoire de Belfort,120,13
2020-05-16,Côte-d'Or,121,22
2020-05-16,Doubs,108,24
2020-05-16,Jura,64,3
2020-05-16,Nièvre,38,3
2020-05-16,Haute-Saône,78,2
2020-05-16,Saône-et-Loire,181,14
2020-05-16,Yonne,109,13
2020-05-16,Territoire de Belfort,112,13
2020-05-17,Côte-d'Or,119,22
2020-05-17,Doubs,108,24
2020-05-17,Jura,64,3
2020-05-17,Nièvre,38,3
2020-05-17,Haute-Saône,78,2
2020-05-17,Saône-et-Loire,181,14
2020-05-17,Yonne,109,13
2020-05-17,Territoire de Belfort,113,13
2020-05-18,Côte-d'Or,119,22
2020-05-18,Doubs,95,20
2020-05-18,Jura,63,2
2020-05-18,Nièvre,38,3
2020-05-18,Haute-Saône,77,3
2020-05-18,Saône-et-Loire,185,11
2020-05-18,Yonne,106,12
2020-05-18,Territoire de Belfort,114,13
2020-05-19,Côte-d'Or,108,20
2020-05-19,Doubs,90,17
2020-05-19,Jura,58,1
2020-05-19,Nièvre,38,3
2020-05-19,Haute-Saône,73,2
2020-05-19,Saône-et-Loire,179,10
2020-05-19,Yonne,103,10
2020-05-19,Territoire de Belfort,109,12
2020-05-20,Côte-d'Or,106,20
2020-05-20,Doubs,86,16
2020-05-20,Jura,56,0
2020-05-20,Nièvre,29,2
2020-05-20,Haute-Saône,72,1
2020-05-20,Saône-et-Loire,171,10
2020-05-20,Yonne,100,10
2020-05-20,Territoire de Belfort,110,11
2020-05-21,Côte-d'Or,104,20
2020-05-21,Doubs,83,14
2020-05-21,Jura,56,0
2020-05-21,Nièvre,24,2
2020-05-21,Haute-Saône,72,1
2020-05-21,Saône-et-Loire,169,9
2020-05-21,Yonne,101,10
2020-05-21,Territoire de Belfort,75,11
2020-05-22,Côte-d'Or,98,17
2020-05-22,Doubs,80,12
2020-05-22,Jura,55,0
2020-05-22,Nièvre,24,2
2020-05-22,Haute-Saône,72,1
2020-05-22,Saône-et-Loire,162,10
2020-05-22,Yonne,94,9
2020-05-22,Territoire de Belfort,76,11
2020-05-23,Côte-d'Or,99,17
2020-05-23,Doubs,76,14
2020-05-23,Jura,55,0
2020-05-23,Nièvre,24,2
2020-05-23,Haute-Saône,72,0
2020-05-23,Saône-et-Loire,162,10
2020-05-23,Yonne,98,9
2020-05-23,Territoire de Belfort,72,10
2020-05-24,Côte-d'Or,99,17
2020-05-24,Doubs,76,14
2020-05-24,Jura,55,0
2020-05-24,Nièvre,23,2
2020-05-24,Haute-Saône,72,0
2020-05-24,Saône-et-Loire,161,10
2020-05-24,Yonne,99,9
2020-05-24,Territoire de Belfort,71,9
2020-05-25,Côte-d'Or,84,14
2020-05-25,Doubs,75,13
2020-05-25,Jura,55,0
2020-05-25,Nièvre,23,2
2020-05-25,Haute-Saône,62,0
2020-05-25,Saône-et-Loire,159,12
2020-05-25,Yonne,94,9
2020-05-25,Territoire de Belfort,72,8
2020-05-26,Côte-d'Or,66,13
2020-05-26,Doubs,61,12
2020-05-26,Jura,24,0
2020-05-26,Nièvre,21,2
2020-05-26,Haute-Saône,48,0
2020-05-26,Saône-et-Loire,147,10
2020-05-26,Yonne,78,9
2020-05-26,Territoire de Belfort,69,8
2020-05-27,Côte-d'Or,53,11
2020-05-27,Doubs,43,12
2020-05-27,Jura,21,0
2020-05-27,Nièvre,18,1
2020-05-27,Haute-Saône,49,0
2020-05-27,Saône-et-Loire,142,9
2020-05-27,Yonne,80,9
2020-05-27,Territoire de Belfort,61,7
2020-05-28,Côte-d'Or,48,9
2020-05-28,Doubs,39,13
2020-05-28,Jura,20,0
2020-05-28,Nièvre,17,1
2020-05-28,Haute-Saône,48,0
2020-05-28,Saône-et-Loire,139,9
2020-05-28,Yonne,78,9
2020-05-28,Territoire de Belfort,59,7
2020-05-29,Côte-d'Or,44,8
2020-05-29,Doubs,37,10
2020-05-29,Jura,29,0
2020-05-29,Nièvre,8,1
2020-05-29,Haute-Saône,49,0
2020-05-29,Saône-et-Loire,130,6
2020-05-29,Yonne,70,9
2020-05-29,Territoire de Belfort,55,6
2020-05-30,Côte-d'Or,44,7
2020-05-30,Doubs,33,5
2020-05-30,Jura,27,0
2020-05-30,Nièvre,11,1
2020-05-30,Haute-Saône,50,0
2020-05-30,Saône-et-Loire,130,6
2020-05-30,Yonne,69,9
2020-05-30,Territoire de Belfort,57,6
2020-05-31,Côte-d'Or,44,7
2020-05-31,Doubs,33,5
2020-05-31,Jura,27,0
2020-05-31,Nièvre,11,1
2020-05-31,Haute-Saône,50,0
2020-05-31,Saône-et-Loire,130,6
2020-05-31,Yonne,64,9
2020-05-31,Territoire de Belfort,57,6
2020-06-01,Côte-d'Or,45,7
2020-06-01,Doubs,33,5
2020-06-01,Jura,27,0
2020-06-01,Nièvre,11,1
2020-06-01,Haute-Saône,50,0
2020-06-01,Saône-et-Loire,130,6
2020-06-01,Yonne,63,9
2020-06-01,Territoire de Belfort,56,6
2020-06-02,Côte-d'Or,44,5
2020-06-02,Doubs,32,5
2020-06-02,Jura,24,0
2020-06-02,Nièvre,11,1
2020-06-02,Haute-Saône,46,0
2020-06-02,Saône-et-Loire,120,6
2020-06-02,Yonne,60,9
2020-06-02,Territoire de Belfort,53,6
2020-06-03,Côte-d'Or,41,5
2020-06-03,Doubs,29,5
2020-06-03,Jura,24,0
2020-06-03,Nièvre,12,1
2020-06-03,Haute-Saône,41,0
2020-06-03,Saône-et-Loire,102,6
2020-06-03,Yonne,53,8
2020-06-03,Territoire de Belfort,49,4
2020-06-04,Côte-d'Or,42,5
